! {"version" : "7.6.0"}
Index,Name,Conductivity,Absorptivity,Emissivity,Color,Type
1,"Butadiene",0.250000,0.500000,0.900000,0x9B9B9B,0
2,"Neoprene (Polychloroprene)",0.230000,0.500000,0.900000,0x800000,0
3,"Fiberglass (PE Resin)",0.300000,0.500000,0.900000,0x008080,0
4,"Redwood, Cedar, Hemlock, Douglas Fir, White Fir, Cypress",0.110000,0.500000,0.900000,0xCE6700,0
5,"Hardwoods (Oak, Maple)",0.160000,0.500000,0.900000,0x804040,0
6,"Particleboard, Plywood (Low Density)",0.100000,0.500000,0.900000,0xBAA7A7,0
7,"Hardboard (Medium Density)",0.110000,0.500000,0.900000,0x800040,0
8,"Aluminum  (Oxidized, Mill Finish)",237.000000,0.500000,0.200000,0x4040FF,0
9,"Steel (Oxidized)",50.000000,0.500000,0.800000,0x400080,0
10,"Glass (Plate or Float)",1.000000,0.500000,0.840000,0x80FFFF,0
11,"Plexiglas (PMMA) / Lucite",0.200000,0.500000,0.900000,0xFFFF80,0
12,"Cellulose, Cellulosic Fiber, Cotton Fiber",0.040000,0.500000,0.900000,0xFF8080,0
13,"Mineral Fiber-Loose Fill (Rock, Slag, Glass)",0.050000,0.500000,0.900000,0x653232,0
14,"Foam Glass",0.040000,0.500000,0.900000,0xFF8000,0
15,"Foam Weather Stripping",0.030000,0.500000,0.900000,0x4B0097,0
16,"Butyl rubber",0.240000,0.500000,0.900000,0x808080,0
17,"Butyl rubber, (Isobutene), Solid / Hot Melt",0.240000,0.500000,0.900000,0x6B6B6B,0
18,"Expanded Rubber (Rigid)",0.032000,0.500000,0.900000,0x400040,0
19,"Ethylene Propylene Diene Monomer (EPDM)",0.250000,0.500000,0.900000,0xC5FE01,0
20,"Foam Rubber",0.060000,0.500000,0.900000,0x6600CC,0
21,"Polyisobutylene (PIB)",0.200000,0.500000,0.900000,0xD96C00,0
22,"Polysulphide",0.400000,0.500000,0.900000,0xFF0000,0
23,"Fiberglass (Reinforced Nylon)",0.231000,0.500000,0.900000,0x006464,0
24,"PVB",0.221000,0.500000,0.900000,0x62B0FF,0
25,"Polyamide (Nylon)",0.250000,0.500000,0.900000,0xFF0080,0
26,"Polycarbonate",0.200000,0.500000,0.900000,0xFF80FF,0
27,"Polyethylene / Polythene HD (High Density)",0.500000,0.500000,0.900000,0xCA0065,0
28,"Polyethylene / Polythene LD (Low Density)",0.330000,0.500000,0.900000,0x800080,0
29,"Polypropylene",0.220000,0.500000,0.900000,0x8080C0,0
30,"Polystyrene",0.160000,0.500000,0.900000,0xB3B3D9,0
31,"Polytetrafluoroethylene (PTFE)",0.250000,0.500000,0.900000,0x6060B0,0
32,"Polyurethane",0.250000,0.500000,0.900000,0xF1ED32,0
33,"Polyurethane, HCFC Blown",0.021000,0.500000,0.900000,0xF4D80B,0
34,"Polyurethane Foam",0.050000,0.500000,0.900000,0xFFFFC1,0
35,"Polyvinylchloride (PVC) Flexible,with 40% Softener",0.140000,0.500000,0.900000,0x00B75B,0
36,"Polyvinylchloride (PVC) / Vinyl - Rigid",0.170000,0.500000,0.900000,0x008040,0
37,"Silicone",0.350000,0.500000,0.900000,0x970097,0
38,"Silicone, Filled",0.500000,0.500000,0.900000,0xFFE1FF,0
39,"Urethane - Thermal Break",0.121000,0.500000,0.900000,0xFFBF00,0
40,"Urethane / Polyurethane",0.210000,0.500000,0.900000,0xD2D200,0
41,"Pine, Spruce, Fir, Larch, Mahogany",0.140000,0.500000,0.900000,0xFF8000,0
42,"Particleboard, Plywood (Medium Density)",0.170000,0.500000,0.900000,0x9D7979,0
